Voller Name des VO,Kurzform des Namens,Beschreibungstext (1000 Zeichen),Straße,Nr.,PLZ,Adressenzusatz,Öffnungszeiten (optional),Bild,Homepage,Email,Veranstaltungsort,Veranstalter,LAT,LON
Jenseits von Birkenstraße e.V.,JVB e.V.,"Verein, der Räume für künstlerische, politische und soziale Aktivitäten bietet, um dem Verlust bezahlbarer Gemeinschaftsräume entgegenzuwirken. Interessierte können Ausstellungen, Lesungen und Projekte initiieren und sich für eine solidarische Nachbarschaft engagieren.",Turmstraße,10,10559,–,–,,jvb‑moabit.org,wir@jvb‑moabit.org,,,52.532.481.329.730.300,13.352.219.124.531.400
We Keez Moabit e.V.,We Keez,"Nachbarschaftsverein (gegründet 2021), der ein lebendiges, vernetztes und kreatives Viertel schaffen will. Durch Veranstaltungen wie den Moabiter Wintermarkt, die Fête de la Musique und andere Kulturfeste bringt er Menschen zusammen, unterstützt lokale Kunsthandwerker und stärkt das Gemeinschaftsgefühl.",Perleberger Str.,58,10559,–,–,,wekeez.de,hallo@wekeez.de,,,52.532.481.329.730.300,13.352.219.124.531.400
Young Afrika Rising e.V.,Young Afrika Rising,"Verein, der Beratungs‑ und Empowerment‑Angebote für Angehörige der afrikanischen Diaspora in Deutschland sowie für Jugendliche und Familien in Ghana organisiert. Er schafft Austausch zwischen Diaspora und Afrika und führt Sport‑ und Bildungsprojekte durch, um auf Entwicklungsfragen aufmerksam zu machen.",Rathenower Str.,31,10559,–,–,,youngafricarising.org,info@youngafricarising.org,,,52.532.481.329.730.300,13.352.219.124.531.400
ZILLEKLUB / Zillehaus,Zilleklub,"Kinder‑ und Jugendtreff mit getrennten Bereichen für Kinder (6–12 Jahre) und Jugendliche (12–21 Jahre). Angebote: Hausaufgabenbetreuung, offener Spielplatz, Fußball, Theaterprojekte, Kreativ‑ und Medienangebote. Der Klub arbeitet eng mit dem Familienzentrum Moabit‑Ost und Beratungsstellen zusammen und bietet Kindern und Jugendlichen einen geschützten Freiraum.",Rathenower Str.,17,10559,–,–,,klubheim‑berlin.de,zille@klubheim‑berlin.de,,,52.532.481.329.730.300,13.352.219.124.531.400
Bruno‑Lösche‑Bibliothek,Bruno‑Lösche‑Bibliothek,"Bezirksbibliothek, eröffnet 1964. Sie fungiert als Kommunikations‑ und Informationszentrum mit rund 65 000 analogen und 18 000 digitalen Medien. Die Bibliothek fördert Lesen und Medienkompetenz bei Kindern und Jugendlichen, bietet Veranstaltungen, Vorlesestunden, einen Lesecafé‑Bereich und ist Treffpunkt für den Kiez.",Perleberger Str.,33,10559,–,Mo–Fr 10–19:30 Uhr; Sa 10–14 Uhr,,berlin.de/stadtbibliothek‑mitte,service@stb‑mitte.de,,,52.532.481.329.730.300,13.352.219.124.531.400
"Selbsthilfe‑, Kontakt‑ und Beratungsstelle Mitte (SKH Selbsthilfe)",SKH Selbsthilfe,"Kontakt‑ und Beratungsstelle zur Unterstützung von Selbsthilfegruppen. Die von StadtRand Berlin gGmbH betriebene Stelle informiert Interessierte, vermittelt Gruppen, hilft bei organisatorischen Fragen und stärkt Selbsthilfe und Gesundheitsförderung.",Perleberger Str.,44,10559,–,Mo & Di 10–14 Uhr; Do 15–18 Uhr; Termine nach Vereinbarung,,stadtrand‑berlin.de,contact@stadtrand‑berlin.de,,,52.532.481.329.730.300,13.352.219.124.531.400
Moabiter Kinderhof,Moabiter Kinderhof,"Kinderspiel‑ und Erlebnisbauernhof für Kinder bis 13 Jahre. Neben Spielplatz, Garten und Tierhaltung werden Basteln, Holz‑ und Werkprojekte, Kochen, Feste und pädagogische Programme angeboten. Ziel ist es, Kindern naturnahe Erfahrungen, Kreativität und soziale Kompetenzen zu vermitteln.",Seydlitzstraße,12,10557,–,Mo–Fr 14–20 Uhr; Sa 13–19 Uhr,,moabiter‑kinderhof.de,moabiter.kinderhof@berlin.de,,,525.252.332.996.821,13.361.574.164.608.300
Frecher Spatz e.V.,Frecher Spatz,"Träger der freien Jugendhilfe, der an über 20 Standorten Kinder‑ und Jugendbetreuung anbietet. Über 2 000 Kinder werden täglich betreut. Das Team legt Wert auf Qualität, Zuverlässigkeit und Fairness und setzt Projekte wie die „Kulturbremse“ um. Der Verein schafft kreative Freiräume für Kinder und Familien.",Kirchstraße,2,10557,–,Geschäftsstelle: Mo 10–14 Uhr; Di 11–14 Uhr; Do 10–16 Uhr,,frecherspatz.de,info@frecherspatz.de,,,525.252.332.996.821,13.361.574.164.608.300
Frauenverband Courage e.V.,Courage e.V.,"Frauenrechtsverband, der sich für die Selbstbestimmung von Frauen, fairen Lohn, gleiche Rechte und gegen Rassismus, Faschismus und Sexismus einsetzt. In Moabit treffen sich Mitglieder regelmäßig, um Aktionen zum Internationalen Frauentag (8. März) und zum Tag gegen Gewalt an Frauen (25. November) zu planen.",–,–,–,–,–,,frauenverband‑courage.de,courage‑geschaeftsstelle@t‑online.de,,,,
Nachbarschaftsladen Stephans,Stephans‑Laden,"Nachbarschaftsladen des Vereins Moabiter Ratschlag im Stephankiez. Er bietet Räume für Nachbarn, um sich zu treffen, Ideen zu entwickeln und Projekte umzusetzen. Es finden u. a. Lesekreise, Seniorencafé, Strick‑ und Yogatreffen statt. Der Laden wird durch Spenden und den Quartiersfonds unterstützt.",Stendaler Str.,9,10559,–,–,,moabiter‑ratschlag.de/stephans,stephans@moabiter‑ratschlag.de,,,52.532.481.329.730.300,13.352.219.124.531.400
Neue Nachbarschaft/Moabit e.V.,Neue Nachbarschaft,"Seit 2013 bestehende ehrenamtliche Nachbarschaftsinitiative. Sie bietet ein interdisziplinäres kulturelles, künstlerisches und soziales Programm für Menschen mit und ohne Flucht‑/Migrationsgeschichte: Sprachtreffs, Tanz, Yoga, Frauen‑ und Kindertreffen, gemeinsames Kochen und kulturelle Veranstaltungen. Ziel ist die Schaffung hierarchiefreier Räume und die Stärkung der Solidarität im Kiez.",Beusselstraße,44,10553,–,Programm je nach Veranstaltung (siehe Website),,neuenachbarschaft.de,info@neuenachbarschaft.de,,,5.253.227.955.082.940,13.323.684.532.383.300
Gemeinschaftsgarten Moabeet,Moabeet,"600 m² großer Gemeinschaftsgarten entlang der Lehrter Straße. Der Garten ist nicht parzellenweise aufgeteilt; etwa 30 Mitglieder gärtnern gemeinsam und bauen Gemüse, Kräuter und Blumen an. Er dient als sozialer Treffpunkt, fördert biologische Vielfalt, Permakultur und gemeinsames Lernen; Familien und Kinder sind besonders willkommen.",Lehrter Str.,27–30,10557,Hinter dem Spielplatz,–,,–,–,,,525.252.332.996.821,13.361.574.164.608.300
StadtRand Berlin gGmbH,StadtRand,"Netzwerk freier Wohlfahrts­organisationen (seit 1995) mit Schwerpunkt auf Sucht‑ und Psychiatriehilfe. Betriebe: Selbsthilfe‑, Kontakt‑ und Beratungsstelle Mitte, Kontaktstelle PflegeEngagement, Projekte mit Geflüchteten und Menschen mit Migrationshintergrund. Seit Dezember 2024 ist Moabiter Ratschlag alleiniger Gesellschafter; dadurch werden soziale Arbeit und Stadtteilentwicklung im Bezirk verknüpft.",Perleberger Str.,44,10559,–,–,,stadtrand‑berlin.de,kontakt@stadtrand‑berlin.de,,,52.532.481.329.730.300,13.352.219.124.531.400
Berliner Stadtmission (Warme Otto / Kleiderkammer),Berliner Stadtmission,"Die Berliner Stadtmission (gegründet 1877) ist ein evangelisches Hilfswerk, das Menschen in Not unterstützt. Sie betreibt in Moabit die Kleiderkammer „Warme Otto“ und die Wohnungsloseneinrichtung in der Wittstocker Straße. In der Kleiderkammer können Kleiderspenden abgegeben werden; geöffnet Mo–Do 8:30–16:30 Uhr, Fr 8:30–15:30 Uhr.",Lehrter Str.,68,10557,Kleiderkammer / „Warme Otto“: Wittstocker Str. 7,Kleiderkammer: Mo–Do 8:30–16:30 Uhr; Fr 8:30–15:30 Uhr,,berliner‑stadtmission.de,info@berliner‑stadtmission.de,,,525.252.332.996.821,13.361.574.164.608.300
Gallery O25 (O25 Collective),O25 Collective,,–,–,–,–,–,,–,–,,,,
Hamer Galerie,Hamer Galerie,,–,–,–,–,–,,–,–,,,,
Kurt‑Kurt – Projekt für Kunst und Kontext,Kurt‑Kurt,"Projektraum im „Stadtlabor Berlin‑Moabit“. Kurt‑Kurt nutzt den Kiez als lebendiges Labor, um Verbindungen zwischen Kunst, öffentlichem Raum, Stadtentwicklung und Alltagsleben zu erforschen. Durch Interventionen, Ausstellungen und Diskussionen bringt er Nachbar*innen und internationales Kunstpublikum miteinander ins Gespräch, überwindet Grenzen zwischen „Wir“ und „den Anderen“ und thematisiert gesellschaftspolitische Fragen.",Lübecker Str.,13,10559,–,–,,kurt‑kurt.de,info@kurt‑kurt.de,,,52.532.481.329.730.300,13.352.219.124.531.400
DOCK 11 / DOCK ART (Tanz‑ und Probenräume),DOCK 11,"Zentrum für zeitgenössischen Tanz und Performance mit Proben‑, Produktions‑ und Aufführungsräumen sowie Tanzschule. DOCK 11 wurde 1994 in einer ehemaligen Fabrik gegründet und beherbergt heute elf Studios an zwei Standorten (Kastanienallee 79 und EDEN***** in Pankow). Es bietet wöchentliche Kurse, Workshops und Festivals wie das b12 und unterstützt interdisziplinären Austausch.",Kastanienallee,79,10435,Standort in Prenzlauer Berg; Satelliten in EDEN (Breite Str. 43),–,,dock11‑berlin.de,dock11@dock11‑berlin.de,,,525.409,134.096
Haus der Weisheit e.V. (Darul Hekma),Haus der Weisheit,"Kultureller Verein mit Moschee, der seit über 20 Jahren in Moabit aktiv ist. Er bietet religiöse und sozio­kulturelle Angebote, fördert den interreligiösen Dialog und dient als Brücke zwischen Religionen und Kulturen. Die Einrichtung ist Anlaufstelle für muslimische Familien und Geflüchtete und betreibt Bildungs‑ und Integrationsangebote.",Rathenower Str.,16,10559,–,–,,haus‑der‑weisheit.de,hadewe‑berlin@gmx.de,,,52.532.481.329.730.300,13.352.219.124.531.400
